,num_variables,activation_function,absorption_criterion,ascent_stop_criterion,stopping_criterion_type,step_type,max_iterations,direction_type,initial_ascent_type,gamma,theta,f_value,binary,t_hmip,t_cplex,f_cplex
0,2,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-4.677434580590726,0.0,0.027007922000000018,0.017537201999999974,-4.677434580590726
1,2,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-0.10976324447663233,0.23485025806086815,0.06498267700000016,0.010651121000000097,-0.06962799529010616
2,2,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,2.1368197743426125e-06,0.015933905949022283,0.06677870699999988,0.010000634999999924,0.0
3,2,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,0.0,0.0,0.003980478999999981,0.010457041999999861,0.0
4,2,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-0.13080603607018576,0.4253637753313214,0.017777233999999975,0.010951043999999799,-0.11294916486561038
5,2,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-0.6628810109489817,0.19447900135061877,0.003006607999999966,0.010479225000000092,-0.6628810109489816
6,2,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-0.5039758857356454,0.0,0.003990437000000124,0.009879293999999872,-0.5039758857356454
7,2,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-0.5601247863495511,0.32310506146398954,0.018267911999999997,0.010433114000000021,-0.5049941733932357
8,2,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,0.0,0.0,0.002750401999999985,0.009937231999999963,0.0
9,2,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,0.016541703764184186,0.18709654634499767,0.062481608999999994,0.01068676199999996,-0.0014091125269540905
10,2,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-0.4041949606547681,0.016513737727283172,0.0623207830000001,0.010206669999999862,-0.4042662161552928
11,2,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-0.008544817056200523,0.1623509791183735,0.06326717700000017,0.010518505999999928,-0.008798996002128547
12,2,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-0.03259147042243965,0.19652369158175195,0.06326326399999971,0.01017089399999982,0.0
13,2,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-0.19124549355519832,0.19247525222209008,0.06375379699999995,0.010202145000000051,-0.19138071776342405
14,2,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,0.003960700718692149,0.12192386185241612,0.06443717400000004,0.010005886999999714,0.0
15,2,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,5.036663875618375e-16,4.1355682056104955e-08,0.00344333600000013,0.01029060500000023,0.0
16,2,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,0.03928697098264073,0.24550211134801436,0.06509195900000009,0.011036904000000014,0.0
17,2,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-0.1039150944604653,0.24995603830622506,0.06343218700000008,0.010119537000000012,-0.10391510183125399
18,2,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,4.895852946642728e-09,0.0013141596324146322,0.06372466899999996,0.009832846000000117,0.0
19,2,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-0.19415916623799748,0.2274312296502784,0.06246157100000005,0.010588943000000128,-0.13808866379978868
20,2,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-0.12629657245163473,0.22394513316922565,0.0037156459999998503,0.010447289000000026,-0.1262965724517669
21,2,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-0.018070331759112684,0.2610616006436726,0.0032565400000001965,0.01098135400000011,-0.018070331760324274
22,2,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-0.038188468200764776,0.24999992129974408,0.06265842499999996,0.010030683999999734,-0.038201944942134816
23,2,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-0.917095911922474,0.18104294631853818,0.06333124299999993,0.01009341500000005,-0.924613252130305
24,2,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-1.1320455706073005,0.0,0.0026137350000001724,0.009951817999999779,-1.1320455706073005
25,2,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-0.036590359612391966,0.219207764997069,0.015089051999999992,0.01005286800000027,0.0
26,2,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-0.43795346371018457,0.060388636640201616,0.005189098000000225,0.00978847000000016,-0.43795346371053706
27,2,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,0.0,0.0,0.0012320800000003018,0.010588056999999651,0.0
28,2,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,5.685502745342836e-13,1.2628555691445854e-06,0.004125394999999976,0.009672289000000056,0.0
29,2,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,0.0,0.0,0.00265181400000003,0.00979565200000021,0.0
30,2,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-0.11078746967150643,0.12357968884580889,0.01473821899999983,0.010624036000000281,-0.10762967610531743
