,f_value,norm_eq,norm_ineq,binary,time
0,-0.5908850946329468,0,0,0.0004082007866076551,0.11892177800000003
1,-0.5596853107599862,0,0,0.18156022053365548,0.11984541599999998
2,-0.21889648777348855,0,0,0.24651098201992536,0.10722845199999975
3,-0.8684574853010832,0,0,1.5729639812864475e-12,0.027046678000000046
4,-0.32903413415034877,0,0,0.0,0.12070179999999997
5,-0.8004533747514486,0,0,0.0967891404577154,0.11734473600000017
6,-1.8404551612939168,0,0,0.0,0.11644957800000011
7,-0.14942566918332847,0,0,0.17425328633872533,0.014168102000000182
8,-0.2031609419205025,0,0,0.49702136654402385,0.11180210499999976
9,-0.48748747341983123,0,0,0.04026964467855949,0.12281214899999959
