,num_variables,activation_function,absorption_criterion,ascent_stop_criterion,stopping_criterion_type,step_type,max_iterations,direction_type,initial_ascent_type,gamma,theta,f_value,binary,t_hmip,t_cplex,f_cplex,t_cplex_relax,f_cplex_relax
0,2,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-1.7617925785269548,0.0,0.005721345078200102,0.020177555037662387,-1.7617925785269548,0.028971911990083754,-1.7617925785269548
1,2,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,0.026501880022894365,0.22999024226666162,0.05454582103993744,0.01955226296558976,0.0,0.02852330496534705,0.0
2,2,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,0.0,0.0,0.004964766907505691,0.015279953018762171,0.0,0.028238048078492284,0.0
3,2,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-0.040962434086366004,0.23755433539902573,0.02142566000111401,0.020885277073830366,0.0,0.028192261001095176,-0.040962434086366045
4,2,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,0.0,0.0,0.0023810970596969128,0.014781475067138672,0.0,0.027124751009978354,0.0
5,2,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-0.10983356126904661,0.3887311686178522,0.009177825995720923,0.023376284982077777,-0.10983356127007164,0.027155807940289378,-0.10983356127007164
6,2,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-0.023241200859406015,0.19259730397421115,0.05486876599024981,0.021173864020965993,-4.825439068950963e-07,0.032370927976444364,-0.023293173892135893
7,2,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,0.0,0.0,0.0057541109854355454,0.01558611006475985,0.0,0.02888515603262931,0.0
8,2,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,0.01032710778507057,0.24716910385860877,0.05331603100057691,0.020085291005671024,0.0,0.02960519806947559,0.0
9,2,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-0.8157784528911027,0.24908508685622027,0.006846830016002059,0.016611053026281297,-0.8157784528912111,0.030162126990035176,-0.8157784528912111
10,4,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-1.3186226027626367,0.0,0.02877292805351317,0.10392861894797534,-1.3186226027626367,0.028936238028109074,-1.3186225934577747
11,4,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-1.056181295771152,0.2494506861752343,0.04678582004271448,0.013028627028688788,-1.0667531420850842,0.024846686981618404,-1.0667531353925772
12,4,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-3.7276271528367353,0.0,0.04547789297066629,0.014900442911311984,-3.7276271528367353,0.03869551501702517,-3.7276271458712578
13,4,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-1.0268905021639478,0.24124057539975344,0.05069584306329489,0.015180801041424274,-1.02957605880617,0.03842542099300772,-1.0295760548515334
14,4,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-1.236553796140561,0.0,0.011773065896704793,0.014879968948662281,-1.236553796140561,0.038855041028000414,-1.2365537912018136
15,4,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-1.058036758968788,0.3717437432020805,0.049970383988693357,0.01691787806339562,-1.27531509476015,0.03800885297823697,-1.2753150892763112
16,4,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-3.1722415815385165,0.2380878105764269,0.04830682708416134,0.015377130941487849,-3.197366636005011,0.039739137049764395,-3.1973666296190704
17,4,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-2.4401846520653274,0.31188042579310105,0.050228671985678375,0.014905162039212883,-2.508394932039641,0.03923808806575835,-2.514110461139151
18,4,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-7.3311506048570685,0.49734657772481244,0.052356070023961365,0.015627120970748365,-7.431043067611166,0.04012316698208451,-7.4310430563814585
19,4,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-1.409809582012969,0.0,0.022153210011310875,0.015382975921966136,-1.409809582012969,0.03787861904129386,-1.4098095759540317
20,10,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-8.931412114355222,0.37326694885547906,0.055943321087397635,0.016269293962977827,-9.0210893233908,0.02579739096108824,-9.021089320454692
21,10,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-4.081569344358906,0.694497891395544,0.05862854502629489,0.0306537679862231,-4.119947656586388,0.027741092024371028,-4.124422734317319
22,10,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-0.7561930931402749,0.5829513466745442,0.05247098195832223,0.016405801055952907,-0.8760772155133585,0.03821344603784382,-0.8760772150355414
23,10,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-4.188870959122052,0.7982303703245756,0.05519839492626488,0.01476518006529659,-4.356325540758726,0.036674214992672205,-4.356325528899434
24,10,pwl,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-7.54940690236151,0.5959119686879397,0.05578563502058387,0.01509218302089721,-7.726568103299376,0.03872943704482168,-7.734435530077896
